Gene,AUROC,Spearman,MSE,MAE
ETHE1,0.8591563834206166,0.6526008023183617,0.44831200109587777,0.5186218
ETS2,0.8617834700641971,0.6784741743376999,0.6658041079839071,0.64739066
ETV4,0.8362845378958081,0.580896111919087,0.6373889495929083,0.5641853
EVPL,0.8482595505419729,0.6263870329556598,0.491278812289238,0.5250512
EXPH5,0.8522180465285684,0.599120818582648,0.27475960552692413,0.37612164
EZR,0.8986086044139857,0.742788366882785,0.5970351099967957,0.61667997
F11R,0.8765988521060998,0.6966333020577531,0.37791507442792255,0.4862797
F13A1,0.6615020617752607,0.2839794165365056,0.3839988079335954,0.4750755
F2RL1,0.8635200535550056,0.6527016719826696,0.3551595840189192,0.43957847
F3,0.8047388080981821,0.5842133928903833,0.813892232047187,0.6977666
FABP1,0.7140830494463963,0.38389165306310274,1.599413777391116,0.92982876
FAM136A,0.8443348040665882,0.6310447677022246,0.4268028421534432,0.4992656
FAM3B,0.7416528192826214,0.3619649150394537,0.5774999948011504,0.54229367
FAM3D,0.8025221806292877,0.5104613626696777,0.4386643138196733,0.48558813
FAM83E,0.8308661302877842,0.5608706443670582,0.23378524515363905,0.3394622
FAM83H,0.8885895863710154,0.7122012786336444,0.34331857826974654,0.44401425
FANCA,0.829983843070345,0.5482602548045383,0.2681782502267096,0.36465356
FANCI,0.8328501218794754,0.5777431206002537,0.3051697065432866,0.40279987
FAP,0.7101110413393158,0.38394001972125463,0.3231942272848553,0.4549053
